Rodada,accuracy,precision,recall,specificity,f2,params,time_train,time_test,time_total
37,0.8857142857142857,0.9565217391304348,0.88,0.9,0.9401709401709403,{'alpha': 0.7498942093324559},1.069980399999622,0.0001449999999749707,1.070125399999597
38,0.8571428571428571,0.9,0.9,0.75,0.9000000000000001,{'alpha': 0.042169650342858224},1.037674999999581,0.00014480000027106144,1.037819799999852
39,0.8571428571428571,0.9166666666666666,0.88,0.8,0.9090909090909091,{'alpha': 0.042169650342858224},1.0047801000000618,0.00014570000166713726,1.004925800001729
40,0.9142857142857143,0.94,0.94,0.85,0.94,{'alpha': 0.31622776601683794},1.028440899999623,0.00014150000060908496,1.0285824000002322
41,0.8857142857142857,0.8888888888888888,0.96,0.7,0.9022556390977443,{'alpha': 0.4216965034285822},1.1136986000001343,0.0002727999999478925,1.1139714000000822
42,0.8714285714285714,0.8727272727272727,0.96,0.65,0.888888888888889,{'alpha': 0.001},1.417167600000539,0.00021440000091388356,1.417382000001453
43,0.8571428571428571,0.8571428571428571,0.96,0.6,0.8759124087591241,{'alpha': 0.001},1.146381200000178,0.000191699999049888,1.146572899999228
44,0.8857142857142857,0.9038461538461539,0.94,0.75,0.9108527131782944,{'alpha': 0.001},1.0065347999989172,0.00014240000018617138,1.0066771999991033
45,0.8857142857142857,0.9038461538461539,0.94,0.75,0.9108527131782944,{'alpha': 0.31622776601683794},1.076694999999745,0.00014399999963643495,1.0768389999993815
46,0.8857142857142857,0.8888888888888888,0.96,0.7,0.9022556390977443,{'alpha': 0.23713737056616552},0.9933545000003505,0.0001401999998051906,0.9934947000001557
47,0.8857142857142857,0.9038461538461539,0.94,0.75,0.9108527131782944,{'alpha': 0.001},1.0128574999998818,0.00015239999993355013,1.0130098999998154
48,0.9,0.9056603773584906,0.96,0.75,0.9160305343511451,{'alpha': 0.4216965034285822},0.9893680000004679,0.00014100000043981709,0.9895090000009077
49,0.8571428571428571,0.8846153846153846,0.92,0.7,0.8914728682170542,{'alpha': 0.001},1.2819371999994473,0.00014260000170907006,1.2820798000011564
50,0.9142857142857143,0.94,0.94,0.85,0.94,{'alpha': 0.001},1.0567310999995243,0.00014089999967836775,1.0568719999992027
